weekday,Precinct,Number of Violation,Info
2,7,878,Precinct: 7
2,8,1,Precinct: 8
2,9,1261,Precinct: 9
2,10,1547,Precinct: 10
2,11,1,Precinct: 11
2,12,1,Precinct: 12
2,13,2514,Precinct: 13
2,14,3720,Precinct: 14
2,15,2,Precinct: 15
2,16,1,Precinct: 16
2,17,2238,Precinct: 17
2,18,3719,Precinct: 18
2,19,5029,Precinct: 19
2,20,1876,Precinct: 20
2,22,5,Precinct: 22
2,23,791,Precinct: 23
2,24,1163,Precinct: 24
2,25,458,Precinct: 25
2,26,425,Precinct: 26
2,27,14,Precinct: 27
2,28,577,Precinct: 28
2,30,363,Precinct: 30
2,32,317,Precinct: 32
2,33,1006,Precinct: 33
2,34,1227,Precinct: 34
2,37,1,Precinct: 37
2,40,617,Precinct: 40
2,41,314,Precinct: 41
2,42,217,Precinct: 42
2,43,838,Precinct: 43
2,44,745,Precinct: 44
2,45,780,Precinct: 45
2,46,896,Precinct: 46
2,47,959,Precinct: 47
2,48,623,Precinct: 48
2,49,1110,Precinct: 49
2,50,846,Precinct: 50
2,52,1216,Precinct: 52
2,60,365,Precinct: 60
2,61,1568,Precinct: 61
2,62,1356,Precinct: 62
2,63,478,Precinct: 63
2,64,1,Precinct: 64
2,66,1560,Precinct: 66
2,67,460,Precinct: 67
2,68,1220,Precinct: 68
2,69,415,Precinct: 69
2,70,1774,Precinct: 70
2,71,388,Precinct: 71
2,72,854,Precinct: 72
2,73,297,Precinct: 73
2,75,565,Precinct: 75
2,76,417,Precinct: 76
2,77,569,Precinct: 77
2,78,1139,Precinct: 78
2,79,470,Precinct: 79
2,81,112,Precinct: 81
2,83,406,Precinct: 83
2,84,1967,Precinct: 84
2,87,2,Precinct: 87
2,88,589,Precinct: 88
2,89,3,Precinct: 89
2,90,1136,Precinct: 90
2,93,1,Precinct: 93
2,94,798,Precinct: 94
2,96,2,Precinct: 96
2,100,185,Precinct: 100
2,101,280,Precinct: 101
2,102,1092,Precinct: 102
2,103,1441,Precinct: 103
2,104,1186,Precinct: 104
2,105,760,Precinct: 105
2,106,743,Precinct: 106
2,107,1147,Precinct: 107
2,108,1592,Precinct: 108
2,109,2323,Precinct: 109
2,110,1078,Precinct: 110
2,111,431,Precinct: 111
2,112,1560,Precinct: 112
2,113,333,Precinct: 113
2,114,2649,Precinct: 114
2,115,1689,Precinct: 115
2,120,322,Precinct: 120
2,121,183,Precinct: 121
2,122,321,Precinct: 122
2,123,70,Precinct: 123
2,125,1,Precinct: 125
2,133,1,Precinct: 133
2,165,1,Precinct: 165
2,208,1,Precinct: 208
2,243,1,Precinct: 243
2,401,1,Precinct: 401
2,428,1,Precinct: 428
2,469,1,Precinct: 469
2,690,1,Precinct: 690
2,721,1,Precinct: 721
2,808,1,Precinct: 808
2,813,1,Precinct: 813
3,0,15727,Precinct: 0
3,1,2913,Precinct: 1
3,2,4,Precinct: 2
3,3,1,Precinct: 3
3,4,3,Precinct: 4
3,5,1273,Precinct: 5
3,6,1566,Precinct: 6
3,7,828,Precinct: 7
3,9,1312,Precinct: 9
3,10,1534,Precinct: 10
3,11,1,Precinct: 11
3,12,3,Precinct: 12
3,13,2533,Precinct: 13
3,14,3677,Precinct: 14
3,15,1,Precinct: 15
3,16,1,Precinct: 16
3,17,2376,Precinct: 17
3,18,3650,Precinct: 18
3,19,5260,Precinct: 19
3,20,1902,Precinct: 20
3,22,6,Precinct: 22
3,23,840,Precinct: 23
3,24,1324,Precinct: 24
3,25,573,Precinct: 25
3,26,530,Precinct: 26
3,27,16,Precinct: 27
3,28,710,Precinct: 28
3,30,502,Precinct: 30
3,32,521,Precinct: 32
3,33,993,Precinct: 33
3,34,1013,Precinct: 34
3,40,873,Precinct: 40
3,41,388,Precinct: 41
3,42,414,Precinct: 42
3,43,1066,Precinct: 43
3,44,821,Precinct: 44
3,45,789,Precinct: 45
3,46,1024,Precinct: 46
3,47,885,Precinct: 47
3,48,792,Precinct: 48
3,49,1068,Precinct: 49
3,50,684,Precinct: 50
3,52,1375,Precinct: 52
3,53,1,Precinct: 53
3,54,1,Precinct: 54
3,56,1,Precinct: 56
3,57,1,Precinct: 57
3,60,567,Precinct: 60
3,61,1527,Precinct: 61
3,62,1191,Precinct: 62
3,63,682,Precinct: 63
3,66,1604,Precinct: 66
3,67,807,Precinct: 67
3,68,1233,Precinct: 68
3,69,384,Precinct: 69
3,70,1815,Precinct: 70
3,71,588,Precinct: 71
3,72,709,Precinct: 72
3,73,340,Precinct: 73
3,74,1,Precinct: 74
3,75,691,Precinct: 75
3,76,433,Precinct: 76
3,77,833,Precinct: 77
3,78,937,Precinct: 78
3,79,827,Precinct: 79
3,80,3,Precinct: 80
3,81,271,Precinct: 81
3,82,1,Precinct: 82
3,83,700,Precinct: 83
3,84,1930,Precinct: 84
3,87,3,Precinct: 87
3,88,807,Precinct: 88
3,89,1,Precinct: 89
3,90,1430,Precinct: 90
3,92,1,Precinct: 92
3,94,1009,Precinct: 94
3,98,2,Precinct: 98
3,99,1,Precinct: 99
3,100,200,Precinct: 100
3,101,190,Precinct: 101
3,102,1217,Precinct: 102
3,103,1561,Precinct: 103
3,104,1177,Precinct: 104
3,105,774,Precinct: 105
3,106,713,Precinct: 106
3,107,1262,Precinct: 107
3,108,1477,Precinct: 108
3,109,2207,Precinct: 109
3,110,1158,Precinct: 110
3,111,406,Precinct: 111
3,112,1627,Precinct: 112
3,113,350,Precinct: 113
3,114,2789,Precinct: 114
3,115,1585,Precinct: 115
3,118,2,Precinct: 118
3,119,2,Precinct: 119
3,120,377,Precinct: 120
3,121,173,Precinct: 121
3,122,359,Precinct: 122
3,123,86,Precinct: 123
3,125,1,Precinct: 125
3,144,1,Precinct: 144
3,205,1,Precinct: 205
3,401,1,Precinct: 401
3,406,1,Precinct: 406
3,410,1,Precinct: 410
3,419,1,Precinct: 419
3,425,1,Precinct: 425
3,482,1,Precinct: 482
3,501,1,Precinct: 501
3,606,1,Precinct: 606
3,670,1,Precinct: 670
3,852,1,Precinct: 852
4,0,16526,Precinct: 0
4,1,2877,Precinct: 1
4,2,3,Precinct: 2
4,4,1,Precinct: 4
4,5,1274,Precinct: 5
4,6,1630,Precinct: 6
4,7,813,Precinct: 7
4,9,1540,Precinct: 9
4,10,1542,Precinct: 10
4,11,2,Precinct: 11
4,12,5,Precinct: 12
4,13,2604,Precinct: 13
4,14,3616,Precinct: 14
4,15,1,Precinct: 15
4,17,2200,Precinct: 17
4,18,3619,Precinct: 18
4,19,5262,Precinct: 19
4,20,1937,Precinct: 20
4,22,13,Precinct: 22
4,23,849,Precinct: 23
4,24,1281,Precinct: 24
4,25,569,Precinct: 25
4,26,521,Precinct: 26
4,27,22,Precinct: 27
4,28,698,Precinct: 28
4,30,520,Precinct: 30
4,31,2,Precinct: 31
4,32,478,Precinct: 32
4,33,896,Precinct: 33
4,34,1015,Precinct: 34
4,35,1,Precinct: 35
4,40,820,Precinct: 40
4,41,465,Precinct: 41
4,42,380,Precinct: 42
4,43,1109,Precinct: 43
4,44,786,Precinct: 44
4,45,748,Precinct: 45
4,46,1103,Precinct: 46
4,47,986,Precinct: 47
4,48,872,Precinct: 48
4,49,1156,Precinct: 49
4,50,644,Precinct: 50
4,52,1356,Precinct: 52
4,60,588,Precinct: 60
4,61,1450,Precinct: 61
4,62,1077,Precinct: 62
4,63,643,Precinct: 63
4,66,1394,Precinct: 66
4,67,761,Precinct: 67
4,68,1126,Precinct: 68
4,69,350,Precinct: 69
4,70,1746,Precinct: 70
4,71,559,Precinct: 71
4,72,661,Precinct: 72
4,73,414,Precinct: 73
4,74,2,Precinct: 74
4,75,703,Precinct: 75
4,76,427,Precinct: 76
4,77,758,Precinct: 77
4,78,982,Precinct: 78
4,79,889,Precinct: 79
4,81,258,Precinct: 81
4,83,678,Precinct: 83
4,84,1860,Precinct: 84
4,87,1,Precinct: 87
4,88,740,Precinct: 88
4,89,1,Precinct: 89
4,90,1410,Precinct: 90
4,94,1127,Precinct: 94
4,95,1,Precinct: 95
4,99,1,Precinct: 99
4,100,240,Precinct: 100
4,101,194,Precinct: 101
4,102,1076,Precinct: 102
4,103,1561,Precinct: 103
4,104,1286,Precinct: 104
4,105,750,Precinct: 105
4,106,735,Precinct: 106
4,107,1157,Precinct: 107
4,108,1467,Precinct: 108
4,109,2162,Precinct: 109
4,110,1230,Precinct: 110
4,111,450,Precinct: 111
4,112,1700,Precinct: 112
4,113,359,Precinct: 113
4,114,2948,Precinct: 114
4,115,1660,Precinct: 115
4,118,1,Precinct: 118
4,120,338,Precinct: 120
4,121,166,Precinct: 121
4,122,299,Precinct: 122
4,123,102,Precinct: 123
4,142,1,Precinct: 142
4,302,1,Precinct: 302
4,408,1,Precinct: 408
4,609,1,Precinct: 609
4,666,1,Precinct: 666
4,790,1,Precinct: 790
4,868,1,Precinct: 868
4,887,1,Precinct: 887
5,0,5814,Precinct: 0
5,1,1582,Precinct: 1
5,3,1,Precinct: 3
5,4,1,Precinct: 4
5,5,1095,Precinct: 5
5,6,1209,Precinct: 6
5,7,796,Precinct: 7
5,8,1,Precinct: 8
5,9,1046,Precinct: 9
5,10,934,Precinct: 10
5,12,1,Precinct: 12
5,13,2160,Precinct: 13
5,14,1698,Precinct: 14
5,16,2,Precinct: 16
5,17,1335,Precinct: 17
5,18,2380,Precinct: 18
5,19,2954,Precinct: 19
5,20,1409,Precinct: 20
5,22,7,Precinct: 22
5,23,522,Precinct: 23
5,24,868,Precinct: 24
5,25,265,Precinct: 25
5,26,255,Precinct: 26
5,28,433,Precinct: 28
5,30,305,Precinct: 30
5,32,379,Precinct: 32
5,33,318,Precinct: 33
5,34,523,Precinct: 34
5,36,2,Precinct: 36
5,37,2,Precinct: 37
5,40,353,Precinct: 40
5,41,213,Precinct: 41
5,42,173,Precinct: 42
5,43,748,Precinct: 43
5,44,601,Precinct: 44
5,45,638,Precinct: 45
5,46,725,Precinct: 46
5,47,701,Precinct: 47
5,48,444,Precinct: 48
5,49,771,Precinct: 49
5,50,520,Precinct: 50
5,52,933,Precinct: 52
5,60,414,Precinct: 60
5,61,1145,Precinct: 61
5,62,885,Precinct: 62
5,63,447,Precinct: 63
5,65,1,Precinct: 65
5,66,258,Precinct: 66
5,67,665,Precinct: 67
